document_id,component_id,source_path,source_bytes,source_sha256,normalized_path,normalized_bytes,normalized_sha256,target_path,target_bytes,target_sha256,segments,structures,math_nodes,status,qa_receipt
O006-PSU-000,index,authority/upstream/stat415/index.html,76643,610d1c54a29c501117de758740f037d7d7186729051b05205e7dbcf633acecf6,source/normalized/en-US/index.html,26025,bf7231efa163c2056d1474edcb829c7cabd796fed194ed67accef04a973f0406,source/id-ID/index.html,25150,1386429afa4824fc4852ab679e3e9e681f1a23d5e25b88a934946257553a97bf,77,197,0,complete,build/THROUGH_LESSON10_QA_RECEIPT.json
O006-PSU-001,Lesson00,authority/upstream/stat415/Lesson00.html,105627,81d68a37bbe2ce635cd6d79769ce99e5ba29ea3c15f554f9db6913615045807f,source/normalized/en-US/Lesson00.html,65253,411b3973f5f0b343f87450a6c66760b6a8e827a1966232f80f1634d446eebf9f,source/id-ID/Lesson00.html,80492,1a077b589f5c1aabafab2a80e012b9bf5d14bd02cb69470354a5d26bca14f560,446,365,331,complete,build/THROUGH_LESSON10_QA_RECEIPT.json
O006-PSU-002,Lesson01,authority/upstream/stat415/Lesson01.html,84567,6b3bf5ba7b5cc7960fb4eddec931088f51f588a879444630a83238767fbfce85,source/normalized/en-US/Lesson01.html,44561,80af5060d5b87190c82b553500024b0926af28aa4b2310091092c1873b47f02c,source/id-ID/Lesson01.html,47572,4b33809f9e1d7564ac49f14fbe7c61d4cbfb637a78826185d430102549411287,221,188,169,complete,build/THROUGH_LESSON10_QA_RECEIPT.json
O006-PSU-003,Lesson02,authority/upstream/stat415/Lesson02.html,93418,29890184a4f2ba91fcd10425e0a941e7eab0f3ac9ab158b2ba469d0744ec69e5,source/normalized/en-US/Lesson02.html,55530,efb5376be5d16d085bbc8d668b31839e0270c7a37e3a2abd52cd742a1410e646,source/id-ID/Lesson02.html,59316,7bfd45597d2e4917c3479b7291cb35f24355b78efc72c9bb56d1eda87413cd04,324,228,209,complete,build/THROUGH_LESSON10_QA_RECEIPT.json
O006-PSU-004,Lesson03,authority/upstream/stat415/Lesson03.html,118925,26dd4efe75abc879a5316c215eaedbfe713c77e742898eb86e7f3d88cb0c04c9,source/normalized/en-US/Lesson03.html,98397,b7bf8db106f1e38d478220284c39ce89e6a9eaaaa1ae98804217c1733b75b17b,source/id-ID/Lesson03.html,102756,1e1875c6859a857a66aa4d987814d1776e4cce24ffa59177def8ea66b72fb346,531,421,440,complete,build/THROUGH_LESSON10_QA_RECEIPT.json
O006-PSU-005,Lesson04,authority/upstream/stat415/Lesson04.html,106614,9fe5790e577c6ce0b808c92683aea45442187f80f74d540b20bd4514bdefc060,source/normalized/en-US/Lesson04.html,75719,bdc5c1255d3660d212a39165a7f3384057cb80dc603826fcdc4316bf052cf737,source/id-ID/Lesson04.html,81390,a508e71ba57653c79566e0d6183b99deb15bfd5eaa8f404e4b4ba28cc9b16042,372,335,289,complete,build/THROUGH_LESSON10_QA_RECEIPT.json
O006-PSU-006,Lesson05,authority/upstream/stat415/Lesson05.html,190308,dac6ce7c81922118cb9c03b47c2229cf2fa505db804aa45d7960dd166ef0ef8d,source/normalized/en-US/Lesson05.html,187687,d47e377a40f78ade8c83ae8cb0a3fcaa8dbf87555d5e0751d5316f0ec6e354dc,source/id-ID/Lesson05.html,195394,4dd2a59b7ebe059b12ffc8dba0ca4e3c155933add3973fabe67528a150d168ba,340,1475,108,complete,build/THROUGH_LESSON10_QA_RECEIPT.json
O006-PSU-007,Lesson06,authority/upstream/stat415/Lesson06.html,77034,abac3002d3f325814503b40a67277a5c9eca8ac6b60e4907bbce15eb0d6b5d06,source/normalized/en-US/Lesson06.html,32426,a7060d1f7e3f1109d45635a79bf48aa070416bc647080faab1b0084ed8bc9d19,source/id-ID/Lesson06.html,36655,96d9d3e664a3b4e53c847bab4c8e59d9b9eef4a5049a9ddf22176749892a3521,176,149,102,complete,build/THROUGH_LESSON10_QA_RECEIPT.json
O006-PSU-008,Lesson07,authority/upstream/stat415/Lesson07.html,105026,2351d07b45be5be79373d0e641a38703b2554c729c250537791c271bce85018c,source/normalized/en-US/Lesson07.html,69757,c67926962dc23726b74668536aac11b5c054f44faf416a8a84bcefa3191aa9d8,source/id-ID/Lesson07.html,74119,dbcc596c036349ff027a7042ab2cf6b27bfa8081bf52c01adcc9b009337f1839,237,399,148,complete,build/THROUGH_LESSON10_QA_RECEIPT.json
O006-PSU-009,Lesson08,authority/upstream/stat415/Lesson08.html,135460,7d2d365cc7300a2ef54edf82b79fca07899a8e8dcc5fb437237cbaf4501f6953,source/normalized/en-US/Lesson08.html,107036,6ce16b2a43009cb7b789b53136477808dd2777913938676fcb29646c09b101c5,source/id-ID/Lesson08.html,113248,b1c21a76c6e973966ea6b299747f3fb3ce91c006cead36adbb02c8a65c1dffc3,291,604,156,complete,build/THROUGH_LESSON10_QA_RECEIPT.json
O006-PSU-010,Lesson09,authority/upstream/stat415/Lesson09.html,114901,87d1401304f866ae3cff6b182dbf92a64b43e92c1c024e684b895187a9e61319,source/normalized/en-US/Lesson09.html,82797,d2c7f39369911013434920b937daa060d4271dff2004faa10c116584b3277140,source/id-ID/Lesson09.html,95315,32380b9c6f768a37b96b1c5002803be40bacd7b95e326133916c7ec1605f568e,443,414,219,complete,build/THROUGH_LESSON10_QA_RECEIPT.json
O006-PSU-011,Lesson10,authority/upstream/stat415/Lesson10.html,152767,0cb938a114d27b03ef3196c24a2e87b79a1a466b9dcbe370e6e6553947446bf5,source/normalized/en-US/Lesson10.html,132877,4b9f7c54d9606298dac3772a55f08db39e0494f8960b8ebdcd468ed0ff27c354,source/id-ID/Lesson10.html,153768,8fb91a9fc5ef0b5a163767aec5e760d19c3e56f6c3dee35ee58323d6c45359c5,540,625,369,complete,build/THROUGH_LESSON10_QA_RECEIPT.json
