subject,predicate,object,scope
O006-C140-CMP-C1-SIM-RECEIPT,evidences,O006-C140-CMP-SIM001,local
O006-C140-CMP-C1-SIM-RECEIPT,evidences,O006-C140-CMP-SIM002,local
O006-C140-CMP-C1-SIM-RECEIPT,evidences,O006-C140-CMP-SIM003,local
O006-C140-CMP-C1-SIM-RECEIPT,evidences,O006-C140-CMP-SIM004,local
O006-C140-CMP-C2-SIM-RECEIPT,evidences,O006-C140-CMP-SIM005,local
O006-C140-CMP-CA01,assesses,O006-C140-CMP-D001,local
O006-C140-CMP-CA01,assesses,O006-C140-CMP-D002,local
O006-C140-CMP-CA01,assesses,O006-C140-CMP-D003,local
O006-C140-CMP-CA01,assesses,O006-C140-CMP-D004,local
O006-C140-CMP-CA01,assesses,O006-C140-CMP-D005,local
O006-C140-CMP-CA01,assesses,O006-C140-CMP-D006,local
O006-C140-CMP-CA01,assesses,O006-C140-CMP-D007,local
O006-C140-CMP-CA01,assesses,O006-C140-CMP-SIM001,local
O006-C140-CMP-CA01,assesses,O006-C140-CMP-SIM002,local
O006-C140-CMP-CA01,assesses,O006-C140-CMP-SIM003,local
O006-C140-CMP-CA01,assesses,O006-C140-CMP-SIM004,local
O006-C140-CMP-CA01,references,O006-016-02-0001,external
O006-C140-CMP-CA01,references,O006-016-02-0003,external
O006-C140-CMP-CA01,references,O006-016-02-0010,external
O006-C140-CMP-CA01,references,O006-016-02-0011,external
O006-C140-CMP-CA01,references,O006-016-02-0013,external
O006-C140-CMP-CA01,references,O006-C140-CMP-D001-THM-REPARAMETERIZATION,local
O006-C140-CMP-CA01,references,O006-C140-CMP-D001-THM-ZERO-SCORE,local
O006-C140-CMP-CA01,references,O006-C140-CMP-D002-THM-ARGMAX,local
O006-C140-CMP-CA01,references,O006-C140-CMP-D002-THM-KL-IDENTIFICATION,local
O006-C140-CMP-CA01,references,O006-C140-CMP-D003-THM-MLE-AN,local
O006-C140-CMP-CA01,references,O006-C140-CMP-D004-ASM001,local
O006-C140-CMP-CA01,references,O006-C140-CMP-D004-THM006,local
O006-C140-CMP-CA01,references,O006-C140-CMP-D006-THM01,local
O006-C140-CMP-CA01,references,O006-C140-CMP-D006-THM02,local
O006-C140-CMP-CA01,references,O006-C140-CMP-D007-THM01,local
O006-C140-CMP-CA01,references,O006-C140-CMP-D007-THM02,local
O006-C140-CMP-CA01,references,O006-C140-CMP-D007-THM04,local
O006-C140-CMP-CA01,references,O006-C140-CMP-D007-THM05,local
O006-C140-CMP-CA01,references,O006-C140-CMP-SIM002-SIM001,local
O006-C140-CMP-CA01,references,O006-C140-CMP-SIM003-CTR001,local
O006-C140-CMP-CA01-P01,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P01-ANS,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P01-H01,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P01-H02,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P01-SOL,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P02,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P02-ANS,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P02-H01,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P02-H02,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P02-SOL,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P03,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P03-ANS,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P03-H01,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P03-H02,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P03-SOL,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P04,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P04-ANS,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P04-H01,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P04-H02,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P04-SOL,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P05,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P05-ANS,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P05-H01,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P05-H02,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P05-SOL,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P06,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P06-ANS,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P06-H01,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P06-H02,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P06-SOL,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P07,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P07-ANS,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P07-H01,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P07-H02,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P07-SOL,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P08,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P08-ANS,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P08-H01,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P08-H02,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P08-SOL,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P09,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P09-ANS,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P09-H01,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P09-H02,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P09-SOL,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P10,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P10-ANS,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P10-H01,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P10-H02,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-P10-SOL,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-RUB00,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-RUB01,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-RUB02,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-RUB03,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-RUB04,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-RUB05,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-RUB06,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-RUB07,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-RUB08,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-RUB09,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-RUB10,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-CA01-SEC01,belongs_to,O006-C140-CMP-CA01,local
O006-C140-CMP-D001,precedes,O006-C140-CMP-D002,local
O006-C140-CMP-D001,precedes,O006-C140-CMP-D003,local
O006-C140-CMP-D001,references,O006-C140-CMP-D001-ASM-R1-R6,local
O006-C140-CMP-D001,references,O006-C140-CMP-D001-THM-DIFFERENTIATION,local
O006-C140-CMP-D001,references,O006-C140-CMP-D001-THM-ZERO-SCORE,local
O006-C140-CMP-D001,references,O006-C140-CMP-D002-SEC-OVERVIEW,local
O006-C140-CMP-D001,references,O006-C140-CMP-D002-THM-KL-IDENTIFICATION,local
O006-C140-CMP-D001,references,O006-C140-CMP-D003-SEC-OVERVIEW,local
O006-C140-CMP-D001,references,O006-C140-CMP-D003-THM-INFO-CONVERGENCE,local
O006-C140-CMP-D001-ASM-R1-R6,belongs_to,O006-C140-CMP-D001,local
O006-C140-CMP-D001-CTR-MOVING-SUPPORT,belongs_to,O006-C140-CMP-D001,local
O006-C140-CMP-D001-CTR-NONIDENTIFIABLE,belongs_to,O006-C140-CMP-D001,local
O006-C140-CMP-D001-CTR-SINGULAR-INFORMATION,belongs_to,O006-C140-CMP-D001,local
O006-C140-CMP-D001-DEF-DOMINATED-MODEL,belongs_to,O006-C140-CMP-D001,local
O006-C140-CMP-D001-DEF-FISHER,belongs_to,O006-C140-CMP-D001,local
O006-C140-CMP-D001-DEF-IDENTIFIABILITY,belongs_to,O006-C140-CMP-D001,local
